"School year","Values","Sex","Age in 5 years group","Full-/Part-time","Schultyp (Ebene +1)","Number","Annotations"
"2015/16","Number of teaching staff","female","50 to 54 years","Part-time","Cumpulsory schools",2569,
"2015/16","Number of teaching staff","female","50 to 54 years","Part-time","Academic secondary schools",540,
"2015/16","Number of teaching staff","female","50 to 54 years","Part-time","Other general schools (statues)",58,
"2015/16","Number of teaching staff","female","50 to 54 years","Part-time","Vocational schools for apprentices",75,
"2015/16","Number of teaching staff","female","50 to 54 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",535,
"2015/16","Number of teaching staff","female","50 to 54 years","Part-time","Other schools and colleges for Vocational Education (statutes)",92,
"2015/16","Number of teaching staff","female","50 to 54 years","Part-time","Teacher-training colleges (till 2015/16)",64,
"2015/16","Number of teaching staff","female","55 to 59 years","Full-time","Cumpulsory schools",7942,
"2015/16","Number of teaching staff","female","55 to 59 years","Full-time","Academic secondary schools",1787,
"2015/16","Number of teaching staff","female","55 to 59 years","Full-time","Other general schools (statues)",68,
"2015/16","Number of teaching staff","female","55 to 59 years","Full-time","Vocational schools for apprentices",177,
"2015/16","Number of teaching staff","female","55 to 59 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1677,
"2015/16","Number of teaching staff","female","55 to 59 years","Full-time","Other schools and colleges for Vocational Education (statutes)",61,
"2015/16","Number of teaching staff","female","55 to 59 years","Full-time","Teacher-training colleges (till 2015/16)",173,
"2015/16","Number of teaching staff","female","55 to 59 years","Part-time","Cumpulsory schools",3272,
"2015/16","Number of teaching staff","female","55 to 59 years","Part-time","Academic secondary schools",622,
"2015/16","Number of teaching staff","female","55 to 59 years","Part-time","Other general schools (statues)",55,
"2015/16","Number of teaching staff","female","55 to 59 years","Part-time","Vocational schools for apprentices",75,
"2015/16","Number of teaching staff","female","55 to 59 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",463,
"2015/16","Number of teaching staff","female","55 to 59 years","Part-time","Other schools and colleges for Vocational Education (statutes)",67,
"2015/16","Number of teaching staff","female","55 to 59 years","Part-time","Teacher-training colleges (till 2015/16)",48,
"2015/16","Number of teaching staff","female","60 to 64 years","Full-time","Cumpulsory schools",2359,
"2015/16","Number of teaching staff","female","60 to 64 years","Full-time","Academic secondary schools",792,
"2015/16","Number of teaching staff","female","60 to 64 years","Full-time","Other general schools (statues)",32,
"2015/16","Number of teaching staff","female","60 to 64 years","Full-time","Vocational schools for apprentices",49,
"2015/16","Number of teaching staff","female","60 to 64 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",618,
"2015/16","Number of teaching staff","female","60 to 64 years","Full-time","Other schools and colleges for Vocational Education (statutes)",14,
"2015/16","Number of teaching staff","female","60 to 64 years","Full-time","Teacher-training colleges (till 2015/16)",54,
"2015/16","Number of teaching staff","female","60 to 64 years","Part-time","Cumpulsory schools",1474,
"2015/16","Number of teaching staff","female","60 to 64 years","Part-time","Academic secondary schools",295,
"2015/16","Number of teaching staff","female","60 to 64 years","Part-time","Other general schools (statues)",18,
"2015/16","Number of teaching staff","female","60 to 64 years","Part-time","Vocational schools for apprentices",15,
"2015/16","Number of teaching staff","female","60 to 64 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",170,
"2015/16","Number of teaching staff","female","60 to 64 years","Part-time","Other schools and colleges for Vocational Education (statutes)",29,
"2015/16","Number of teaching staff","female","60 to 64 years","Part-time","Teacher-training colleges (till 2015/16)",16,
"2015/16","Number of teaching staff","female","older than 65 years","Full-time","Cumpulsory schools",22,
"2015/16","Number of teaching staff","female","older than 65 years","Full-time","Academic secondary schools",9,
"2015/16","Number of teaching staff","female","older than 65 years","Full-time","Other general schools (statues)",5,
"2015/16","Number of teaching staff","female","older than 65 years","Full-time","Vocational schools for apprentices",2,
"2015/16","Number of teaching staff","female","older than 65 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",8,
"2015/16","Number of teaching staff","female","older than 65 years","Full-time","Other schools and colleges for Vocational Education (statutes)",-,
"2015/16","Number of teaching staff","female","older than 65 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2015/16","Number of teaching staff","female","older than 65 years","Part-time","Cumpulsory schools",7,
"2015/16","Number of teaching staff","female","older than 65 years","Part-time","Academic secondary schools",6,
"2015/16","Number of teaching staff","female","older than 65 years","Part-time","Other general schools (statues)",13,
"2015/16","Number of teaching staff","female","older than 65 years","Part-time","Vocational schools for apprentices",1,
"2015/16","Number of teaching staff","female","older than 65 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",2,
"2015/16","Number of teaching staff","female","older than 65 years","Part-time","Other schools and colleges for Vocational Education (statutes)",4,
"2015/16","Number of teaching staff","female","older than 65 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","to 24 years","Full-time","Cumpulsory schools",153.74,
"2016/17","Full-time equivalent","male","to 24 years","Full-time","Academic secondary schools",7.97,
"2016/17","Full-time equivalent","male","to 24 years","Full-time","Other general schools (statues)",1.00,
"2016/17","Full-time equivalent","male","to 24 years","Full-time","Vocational schools for apprentices",-,
"2016/17","Full-time equivalent","male","to 24 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",11.68,
"2016/17","Full-time equivalent","male","to 24 years","Full-time","Other schools and colleges for Vocational Education (statutes)",0.53,
"2016/17","Full-time equivalent","male","to 24 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","to 24 years","Part-time","Cumpulsory schools",19.28,
"2016/17","Full-time equivalent","male","to 24 years","Part-time","Academic secondary schools",14.89,
"2016/17","Full-time equivalent","male","to 24 years","Part-time","Other general schools (statues)",4.73,
"2016/17","Full-time equivalent","male","to 24 years","Part-time","Vocational schools for apprentices",0.62,
"2016/17","Full-time equivalent","male","to 24 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",9.46,
"2016/17","Full-time equivalent","male","to 24 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.16,
"2016/17","Full-time equivalent","male","to 24 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","25 to 29 years","Full-time","Cumpulsory schools",904.19,
"2016/17","Full-time equivalent","male","25 to 29 years","Full-time","Academic secondary schools",316.37,
"2016/17","Full-time equivalent","male","25 to 29 years","Full-time","Other general schools (statues)",12.25,
"2016/17","Full-time equivalent","male","25 to 29 years","Full-time","Vocational schools for apprentices",18.17,
"2016/17","Full-time equivalent","male","25 to 29 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",164.78,
"2016/17","Full-time equivalent","male","25 to 29 years","Full-time","Other schools and colleges for Vocational Education (statutes)",1.76,
"2016/17","Full-time equivalent","male","25 to 29 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","25 to 29 years","Part-time","Cumpulsory schools",83.63,
"2016/17","Full-time equivalent","male","25 to 29 years","Part-time","Academic secondary schools",127.16,
"2016/17","Full-time equivalent","male","25 to 29 years","Part-time","Other general schools (statues)",11.76,
"2016/17","Full-time equivalent","male","25 to 29 years","Part-time","Vocational schools for apprentices",1.30,
"2016/17","Full-time equivalent","male","25 to 29 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",65.43,
"2016/17","Full-time equivalent","male","25 to 29 years","Part-time","Other schools and colleges for Vocational Education (statutes)",2.70,
"2016/17","Full-time equivalent","male","25 to 29 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","30 to 34 years","Full-time","Cumpulsory schools",914.17,
"2016/17","Full-time equivalent","male","30 to 34 years","Full-time","Academic secondary schools",656.51,
"2016/17","Full-time equivalent","male","30 to 34 years","Full-time","Other general schools (statues)",29.00,
"2016/17","Full-time equivalent","male","30 to 34 years","Full-time","Vocational schools for apprentices",132.25,
"2016/17","Full-time equivalent","male","30 to 34 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",420.73,
"2016/17","Full-time equivalent","male","30 to 34 years","Full-time","Other schools and colleges for Vocational Education (statutes)",4.25,
"2016/17","Full-time equivalent","male","30 to 34 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","30 to 34 years","Part-time","Cumpulsory schools",85.52,
"2016/17","Full-time equivalent","male","30 to 34 years","Part-time","Academic secondary schools",137.69,
"2016/17","Full-time equivalent","male","30 to 34 years","Part-time","Other general schools (statues)",9.22,
"2016/17","Full-time equivalent","male","30 to 34 years","Part-time","Vocational schools for apprentices",11.02,
"2016/17","Full-time equivalent","male","30 to 34 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",100.12,
"2016/17","Full-time equivalent","male","30 to 34 years","Part-time","Other schools and colleges for Vocational Education (statutes)",2.04,
"2016/17","Full-time equivalent","male","30 to 34 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","35 to 39 years","Full-time","Cumpulsory schools",1000.95,
"2016/17","Full-time equivalent","male","35 to 39 years","Full-time","Academic secondary schools",690.93,
"2016/17","Full-time equivalent","male","35 to 39 years","Full-time","Other general schools (statues)",42.26,
"2016/17","Full-time equivalent","male","35 to 39 years","Full-time","Vocational schools for apprentices",234.66,
"2016/17","Full-time equivalent","male","35 to 39 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",691.56,
"2016/17","Full-time equivalent","male","35 to 39 years","Full-time","Other schools and colleges for Vocational Education (statutes)",10.40,
"2016/17","Full-time equivalent","male","35 to 39 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","35 to 39 years","Part-time","Cumpulsory schools",94.54,
"2016/17","Full-time equivalent","male","35 to 39 years","Part-time","Academic secondary schools",132.39,
"2016/17","Full-time equivalent","male","35 to 39 years","Part-time","Other general schools (statues)",9.28,
"2016/17","Full-time equivalent","male","35 to 39 years","Part-time","Vocational schools for apprentices",28.26,
"2016/17","Full-time equivalent","male","35 to 39 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",106.50,
"2016/17","Full-time equivalent","male","35 to 39 years","Part-time","Other schools and colleges for Vocational Education (statutes)",8.18,
"2016/17","Full-time equivalent","male","35 to 39 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","40 to 44 years","Full-time","Cumpulsory schools",1093.84,
"2016/17","Full-time equivalent","male","40 to 44 years","Full-time","Academic secondary schools",656.70,
"2016/17","Full-time equivalent","male","40 to 44 years","Full-time","Other general schools (statues)",47.08,
"2016/17","Full-time equivalent","male","40 to 44 years","Full-time","Vocational schools for apprentices",376.44,
"2016/17","Full-time equivalent","male","40 to 44 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",999.22,
"2016/17","Full-time equivalent","male","40 to 44 years","Full-time","Other schools and colleges for Vocational Education (statutes)",14.38,
"2016/17","Full-time equivalent","male","40 to 44 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","40 to 44 years","Part-time","Cumpulsory schools",98.38,
"2016/17","Full-time equivalent","male","40 to 44 years","Part-time","Academic secondary schools",113.36,
"2016/17","Full-time equivalent","male","40 to 44 years","Part-time","Other general schools (statues)",10.61,
"2016/17","Full-time equivalent","male","40 to 44 years","Part-time","Vocational schools for apprentices",33.16,
"2016/17","Full-time equivalent","male","40 to 44 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",132.45,
"2016/17","Full-time equivalent","male","40 to 44 years","Part-time","Other schools and colleges for Vocational Education (statutes)",5.21,
"2016/17","Full-time equivalent","male","40 to 44 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","45 to 49 years","Full-time","Cumpulsory schools",1210.22,
"2016/17","Full-time equivalent","male","45 to 49 years","Full-time","Academic secondary schools",744.13,
"2016/17","Full-time equivalent","male","45 to 49 years","Full-time","Other general schools (statues)",39.27,
"2016/17","Full-time equivalent","male","45 to 49 years","Full-time","Vocational schools for apprentices",584.07,
"2016/17","Full-time equivalent","male","45 to 49 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1403.96,
"2016/17","Full-time equivalent","male","45 to 49 years","Full-time","Other schools and colleges for Vocational Education (statutes)",17.53,
"2016/17","Full-time equivalent","male","45 to 49 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","45 to 49 years","Part-time","Cumpulsory schools",127.86,
"2016/17","Full-time equivalent","male","45 to 49 years","Part-time","Academic secondary schools",113.30,
"2016/17","Full-time equivalent","male","45 to 49 years","Part-time","Other general schools (statues)",19.81,
"2016/17","Full-time equivalent","male","45 to 49 years","Part-time","Vocational schools for apprentices",50.78,
"2016/17","Full-time equivalent","male","45 to 49 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",160.51,
"2016/17","Full-time equivalent","male","45 to 49 years","Part-time","Other schools and colleges for Vocational Education (statutes)",16.85,
"2016/17","Full-time equivalent","male","45 to 49 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","50 to 54 years","Full-time","Cumpulsory schools",1586.51,
"2016/17","Full-time equivalent","male","50 to 54 years","Full-time","Academic secondary schools",897.88,
"2016/17","Full-time equivalent","male","50 to 54 years","Full-time","Other general schools (statues)",31.79,
"2016/17","Full-time equivalent","male","50 to 54 years","Full-time","Vocational schools for apprentices",543.38,
"2016/17","Full-time equivalent","male","50 to 54 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1650.30,
"2016/17","Full-time equivalent","male","50 to 54 years","Full-time","Other schools and colleges for Vocational Education (statutes)",24.07,
"2016/17","Full-time equivalent","male","50 to 54 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","50 to 54 years","Part-time","Cumpulsory schools",180.23,
"2016/17","Full-time equivalent","male","50 to 54 years","Part-time","Academic secondary schools",117.68,
"2016/17","Full-time equivalent","male","50 to 54 years","Part-time","Other general schools (statues)",9.57,
"2016/17","Full-time equivalent","male","50 to 54 years","Part-time","Vocational schools for apprentices",55.00,
"2016/17","Full-time equivalent","male","50 to 54 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",173.09,
"2016/17","Full-time equivalent","male","50 to 54 years","Part-time","Other schools and colleges for Vocational Education (statutes)",13.29,
"2016/17","Full-time equivalent","male","50 to 54 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","55 to 59 years","Full-time","Cumpulsory schools",1893.79,
"2016/17","Full-time equivalent","male","55 to 59 years","Full-time","Academic secondary schools",1185.40,
"2016/17","Full-time equivalent","male","55 to 59 years","Full-time","Other general schools (statues)",29.05,
"2016/17","Full-time equivalent","male","55 to 59 years","Full-time","Vocational schools for apprentices",460.12,
"2016/17","Full-time equivalent","male","55 to 59 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1665.99,
"2016/17","Full-time equivalent","male","55 to 59 years","Full-time","Other schools and colleges for Vocational Education (statutes)",23.42,
"2016/17","Full-time equivalent","male","55 to 59 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","55 to 59 years","Part-time","Cumpulsory schools",326.85,
"2016/17","Full-time equivalent","male","55 to 59 years","Part-time","Academic secondary schools",135.28,
"2016/17","Full-time equivalent","male","55 to 59 years","Part-time","Other general schools (statues)",9.54,
"2016/17","Full-time equivalent","male","55 to 59 years","Part-time","Vocational schools for apprentices",53.40,
"2016/17","Full-time equivalent","male","55 to 59 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",161.03,
"2016/17","Full-time equivalent","male","55 to 59 years","Part-time","Other schools and colleges for Vocational Education (statutes)",12.77,
"2016/17","Full-time equivalent","male","55 to 59 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","60 to 64 years","Full-time","Cumpulsory schools",1301.11,
"2016/17","Full-time equivalent","male","60 to 64 years","Full-time","Academic secondary schools",989.31,
"2016/17","Full-time equivalent","male","60 to 64 years","Full-time","Other general schools (statues)",27.06,
"2016/17","Full-time equivalent","male","60 to 64 years","Full-time","Vocational schools for apprentices",233.80,
"2016/17","Full-time equivalent","male","60 to 64 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1234.21,
"2016/17","Full-time equivalent","male","60 to 64 years","Full-time","Other schools and colleges for Vocational Education (statutes)",13.46,
"2016/17","Full-time equivalent","male","60 to 64 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","60 to 64 years","Part-time","Cumpulsory schools",251.87,
"2016/17","Full-time equivalent","male","60 to 64 years","Part-time","Academic secondary schools",98.04,
"2016/17","Full-time equivalent","male","60 to 64 years","Part-time","Other general schools (statues)",8.55,
"2016/17","Full-time equivalent","male","60 to 64 years","Part-time","Vocational schools for apprentices",39.65,
"2016/17","Full-time equivalent","male","60 to 64 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",126.65,
"2016/17","Full-time equivalent","male","60 to 64 years","Part-time","Other schools and colleges for Vocational Education (statutes)",8.09,
"2016/17","Full-time equivalent","male","60 to 64 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","older than 65 years","Full-time","Cumpulsory schools",8.09,
"2016/17","Full-time equivalent","male","older than 65 years","Full-time","Academic secondary schools",8.00,
"2016/17","Full-time equivalent","male","older than 65 years","Full-time","Other general schools (statues)",7.00,
"2016/17","Full-time equivalent","male","older than 65 years","Full-time","Vocational schools for apprentices",2.00,
"2016/17","Full-time equivalent","male","older than 65 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",29.99,
"2016/17","Full-time equivalent","male","older than 65 years","Full-time","Other schools and colleges for Vocational Education (statutes)",1.00,
"2016/17","Full-time equivalent","male","older than 65 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","male","older than 65 years","Part-time","Cumpulsory schools",2.18,
"2016/17","Full-time equivalent","male","older than 65 years","Part-time","Academic secondary schools",4.87,
"2016/17","Full-time equivalent","male","older than 65 years","Part-time","Other general schools (statues)",3.47,
"2016/17","Full-time equivalent","male","older than 65 years","Part-time","Vocational schools for apprentices",1.04,
"2016/17","Full-time equivalent","male","older than 65 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",12.36,
"2016/17","Full-time equivalent","male","older than 65 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.88,
"2016/17","Full-time equivalent","male","older than 65 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","to 24 years","Full-time","Cumpulsory schools",1817.57,
"2016/17","Full-time equivalent","female","to 24 years","Full-time","Academic secondary schools",35.75,
"2016/17","Full-time equivalent","female","to 24 years","Full-time","Other general schools (statues)",16.32,
"2016/17","Full-time equivalent","female","to 24 years","Full-time","Vocational schools for apprentices",1.00,
"2016/17","Full-time equivalent","female","to 24 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",63.15,
"2016/17","Full-time equivalent","female","to 24 years","Full-time","Other schools and colleges for Vocational Education (statutes)",1.00,
"2016/17","Full-time equivalent","female","to 24 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","to 24 years","Part-time","Cumpulsory schools",179.57,
"2016/17","Full-time equivalent","female","to 24 years","Part-time","Academic secondary schools",42.84,
"2016/17","Full-time equivalent","female","to 24 years","Part-time","Other general schools (statues)",11.51,
"2016/17","Full-time equivalent","female","to 24 years","Part-time","Vocational schools for apprentices",0.72,
"2016/17","Full-time equivalent","female","to 24 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",26.59,
"2016/17","Full-time equivalent","female","to 24 years","Part-time","Other schools and colleges for Vocational Education (statutes)",1.57,
"2016/17","Full-time equivalent","female","to 24 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","25 to 29 years","Full-time","Cumpulsory schools",5047.18,
"2016/17","Full-time equivalent","female","25 to 29 years","Full-time","Academic secondary schools",965.70,
"2016/17","Full-time equivalent","female","25 to 29 years","Full-time","Other general schools (statues)",64.54,
"2016/17","Full-time equivalent","female","25 to 29 years","Full-time","Vocational schools for apprentices",11.98,
"2016/17","Full-time equivalent","female","25 to 29 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",478.59,
"2016/17","Full-time equivalent","female","25 to 29 years","Full-time","Other schools and colleges for Vocational Education (statutes)",4.46,
"2016/17","Full-time equivalent","female","25 to 29 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","25 to 29 years","Part-time","Cumpulsory schools",416.23,
"2016/17","Full-time equivalent","female","25 to 29 years","Part-time","Academic secondary schools",291.87,
"2016/17","Full-time equivalent","female","25 to 29 years","Part-time","Other general schools (statues)",26.99,
"2016/17","Full-time equivalent","female","25 to 29 years","Part-time","Vocational schools for apprentices",4.80,
"2016/17","Full-time equivalent","female","25 to 29 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",144.83,
"2016/17","Full-time equivalent","female","25 to 29 years","Part-time","Other schools and colleges for Vocational Education (statutes)",7.90,
"2016/17","Full-time equivalent","female","25 to 29 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","30 to 34 years","Full-time","Cumpulsory schools",2790.28,
"2016/17","Full-time equivalent","female","30 to 34 years","Full-time","Academic secondary schools",1082.01,
"2016/17","Full-time equivalent","female","30 to 34 years","Full-time","Other general schools (statues)",64.62,
"2016/17","Full-time equivalent","female","30 to 34 years","Full-time","Vocational schools for apprentices",65.19,
"2016/17","Full-time equivalent","female","30 to 34 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",594.30,
"2016/17","Full-time equivalent","female","30 to 34 years","Full-time","Other schools and colleges for Vocational Education (statutes)",13.90,
"2016/17","Full-time equivalent","female","30 to 34 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","30 to 34 years","Part-time","Cumpulsory schools",681.26,
"2016/17","Full-time equivalent","female","30 to 34 years","Part-time","Academic secondary schools",305.88,
"2016/17","Full-time equivalent","female","30 to 34 years","Part-time","Other general schools (statues)",28.17,
"2016/17","Full-time equivalent","female","30 to 34 years","Part-time","Vocational schools for apprentices",11.64,
"2016/17","Full-time equivalent","female","30 to 34 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",199.60,
"2016/17","Full-time equivalent","female","30 to 34 years","Part-time","Other schools and colleges for Vocational Education (statutes)",10.61,
"2016/17","Full-time equivalent","female","30 to 34 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","35 to 39 years","Full-time","Cumpulsory schools",2627.50,
"2016/17","Full-time equivalent","female","35 to 39 years","Full-time","Academic secondary schools",761.77,
"2016/17","Full-time equivalent","female","35 to 39 years","Full-time","Other general schools (statues)",81.03,
"2016/17","Full-time equivalent","female","35 to 39 years","Full-time","Vocational schools for apprentices",103.30,
"2016/17","Full-time equivalent","female","35 to 39 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",531.26,
"2016/17","Full-time equivalent","female","35 to 39 years","Full-time","Other schools and colleges for Vocational Education (statutes)",10.44,
"2016/17","Full-time equivalent","female","35 to 39 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","35 to 39 years","Part-time","Cumpulsory schools",1376.58,
"2016/17","Full-time equivalent","female","35 to 39 years","Part-time","Academic secondary schools",486.12,
"2016/17","Full-time equivalent","female","35 to 39 years","Part-time","Other general schools (statues)",33.43,
"2016/17","Full-time equivalent","female","35 to 39 years","Part-time","Vocational schools for apprentices",33.05,
"2016/17","Full-time equivalent","female","35 to 39 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",323.38,
"2016/17","Full-time equivalent","female","35 to 39 years","Part-time","Other schools and colleges for Vocational Education (statutes)",19.97,
"2016/17","Full-time equivalent","female","35 to 39 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","40 to 44 years","Full-time","Cumpulsory schools",4109.00,
"2016/17","Full-time equivalent","female","40 to 44 years","Full-time","Academic secondary schools",795.77,
"2016/17","Full-time equivalent","female","40 to 44 years","Full-time","Other general schools (statues)",79.83,
"2016/17","Full-time equivalent","female","40 to 44 years","Full-time","Vocational schools for apprentices",142.82,
"2016/17","Full-time equivalent","female","40 to 44 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",844.35,
"2016/17","Full-time equivalent","female","40 to 44 years","Full-time","Other schools and colleges for Vocational Education (statutes)",27.50,
"2016/17","Full-time equivalent","female","40 to 44 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","40 to 44 years","Part-time","Cumpulsory schools",1791.39,
"2016/17","Full-time equivalent","female","40 to 44 years","Part-time","Academic secondary schools",553.38,
"2016/17","Full-time equivalent","female","40 to 44 years","Part-time","Other general schools (statues)",33.02,
"2016/17","Full-time equivalent","female","40 to 44 years","Part-time","Vocational schools for apprentices",59.99,
"2016/17","Full-time equivalent","female","40 to 44 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",469.89,
"2016/17","Full-time equivalent","female","40 to 44 years","Part-time","Other schools and colleges for Vocational Education (statutes)",27.25,
"2016/17","Full-time equivalent","female","40 to 44 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","45 to 49 years","Full-time","Cumpulsory schools",5327.65,
"2016/17","Full-time equivalent","female","45 to 49 years","Full-time","Academic secondary schools",1148.29,
"2016/17","Full-time equivalent","female","45 to 49 years","Full-time","Other general schools (statues)",97.68,
"2016/17","Full-time equivalent","female","45 to 49 years","Full-time","Vocational schools for apprentices",294.81,
"2016/17","Full-time equivalent","female","45 to 49 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1248.66,
"2016/17","Full-time equivalent","female","45 to 49 years","Full-time","Other schools and colleges for Vocational Education (statutes)",57.66,
"2016/17","Full-time equivalent","female","45 to 49 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","45 to 49 years","Part-time","Cumpulsory schools",1520.49,
"2016/17","Full-time equivalent","female","45 to 49 years","Part-time","Academic secondary schools",443.59,
"2016/17","Full-time equivalent","female","45 to 49 years","Part-time","Other general schools (statues)",48.85,
"2016/17","Full-time equivalent","female","45 to 49 years","Part-time","Vocational schools for apprentices",53.97,
"2016/17","Full-time equivalent","female","45 to 49 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",439.09,
"2016/17","Full-time equivalent","female","45 to 49 years","Part-time","Other schools and colleges for Vocational Education (statutes)",29.05,
"2016/17","Full-time equivalent","female","45 to 49 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","50 to 54 years","Full-time","Cumpulsory schools",7229.41,
"2016/17","Full-time equivalent","female","50 to 54 years","Full-time","Academic secondary schools",1629.62,
"2016/17","Full-time equivalent","female","50 to 54 years","Full-time","Other general schools (statues)",84.91,
"2016/17","Full-time equivalent","female","50 to 54 years","Full-time","Vocational schools for apprentices",278.30,
"2016/17","Full-time equivalent","female","50 to 54 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1777.49,
"2016/17","Full-time equivalent","female","50 to 54 years","Full-time","Other schools and colleges for Vocational Education (statutes)",91.34,
"2016/17","Full-time equivalent","female","50 to 54 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2016/17","Full-time equivalent","female","50 to 54 years","Part-time","Cumpulsory schools",1697.48,
